-0.314977,-78.827248,28.773292
-0.654819,-78.404984,28.751111
-1.021867,-77.948929,28.751917
-1.518934,-77.331838,28.752896
-2.129935,-76.572686,28.755122
-2.863490,-75.661723,28.757899
-3.673924,-74.655260,28.758469
-4.584657,-73.523996,28.757795
-5.579461,-72.288060,28.755948
-6.645908,-70.963033,28.752733
-7.895634,-69.410461,28.758362
-9.044437,-67.987072,28.761629
-10.217935,-66.599792,28.752177
-11.409286,-65.220076,28.737485
-12.583598,-63.851863,28.711465
-13.781722,-62.490192,28.680657
-15.012841,-61.217695,28.668349
-16.258096,-59.994552,28.665372
-17.532555,-58.798896,28.661499
-18.788981,-57.638284,28.653044
-20.104430,-56.539864,28.648917
-21.438593,-55.614466,28.646187
-22.900864,-54.748613,28.635498
-24.381096,-53.893499,28.624038
-25.889436,-53.029035,28.623494
-27.285889,-52.309428,28.608493
-28.922727,-51.541390,28.582431
-30.437515,-50.821333,28.560380
-31.923272,-50.113778,28.539524
-33.377247,-49.429346,28.523048
-34.860147,-48.740710,28.523160
-36.368434,-48.041927,28.523860
-37.826684,-47.331162,28.522625
-39.195380,-46.583003,28.529792
-40.556056,-45.811031,28.550265
-41.850653,-44.999776,28.572066
-43.084837,-44.071232,28.578345
-44.097294,-43.120132,28.578795
-44.967274,-42.080030,28.583576
-45.636801,-41.032157,28.589649
-46.152593,-39.952097,28.586584
-46.620279,-38.717431,28.586095
-47.028064,-37.497412,28.591014
-47.436052,-36.272818,28.593589
-47.827627,-35.081903,28.597439
-48.173615,-33.860062,28.598929
-48.433209,-32.656335,28.594001
-48.663607,-31.466083,28.589706
-48.896367,-30.283944,28.585177
-49.090521,-29.094060,28.570390
-49.195475,-27.939316,28.572383
-49.247271,-26.670139,28.566557
-49.293688,-25.531599,28.579389
-49.347042,-24.318622,28.593120
-49.397072,-23.121561,28.605919
-49.445188,-21.955101,28.617878
-49.495309,-20.784660,28.628454
-49.546900,-19.582386,28.639914
-49.602393,-18.514264,28.654164
-49.685647,-17.500150,28.664466
-49.781568,-16.324559,28.673606
-49.882416,-15.285098,28.676335
-50.001666,-14.234593,28.672323
-50.124165,-13.093692,28.672290
-50.244939,-12.007815,28.681086
-50.396578,-10.949892,28.679647
-50.591305,-9.951466,28.679511
-50.828181,-8.817041,28.680974
-51.060784,-7.891421,28.690674
-51.403705,-6.839098,28.698644
-51.704554,-5.958427,28.699156
-52.043715,-4.957906,28.704851
-52.392653,-4.070797,28.675666
-52.758903,-3.259672,28.677096
-53.167766,-2.414264,28.715258
-53.582966,-1.623338,28.728634
-54.037415,-0.841882,28.719206
-54.495726,-0.094215,28.719264
-54.990816,0.645871,28.714537
-55.572069,1.520920,28.706487
-56.166837,2.423610,28.720648
-56.747172,3.295994,28.721939
-57.333471,4.148093,28.720602
-57.930498,5.018375,28.716640
-58.512848,5.848589,28.715123
-59.105091,6.698471,28.706126
-59.802558,7.699107,28.699840
-60.552050,8.773606,28.710770
